"코드
 번호",회사명,주가,시가총액,"총자산
 (억)","매출액
 (억)"
A093050,LF,"34,650","10,132","15,798","15,697"
A115450,지트리비앤티,"44,200","10,227",674,174
A005850,에스엘,"28,200","9,550","16,089","15,730"
A025540,한국단자,"70,900","7,384","8,748","7,607"
A003620,쌍용차,"5,980","8,249","21,641","35,931"
A009970,영원무역홀딩스,"57,800","7,881","19,666","23,763"
A096530,씨젠,"39,550","10,376","1,856",837
A024720,한국콜마홀딩스,"51,100","8,559","6,206","4,349"
A020000,한섬,"33,550","8,263","12,674","10,734"
A108320,실리콘웍스,"53,100","8,636","5,244","6,502"
A052690,한전기술,"24,850","9,498","7,327","4,786"
A041510,에스엠,"39,450","8,583","4,985","3,009"
A060980,한라홀딩스,"60,700","6,557","18,609","10,898"
A078160,메디포스트,"116,200","9,131","1,816",378
A090460,비에이치,"18,550","5,801","4,694","6,764"
A003540,대신증권,"17,100","8,682","180,587","4,585"
A019680,대교,"8,250","6,988","8,501","8,199"
A007570,일양약품,"44,550","8,485","4,323","2,622"
A271980,제일약품,"74,900","7,868","4,181","2,123"
A003470,유안타증권,"5,200","10,378","116,864","3,309"
A053210,스카이라이프,"14,100","6,743","7,654","6,706"
A095610,테스,"36,000","7,117","2,419","2,723"
A029530,신도리코,"72,500","7,308","9,458","5,412"
A085660,차바이오텍,"40,950","21,005","6,043","4,025"
A000990,DB하이텍,"14,100","6,256","9,891","7,300"
A009410,태영건설,"12,000","9,168","43,164","29,348"
A064960,S&T모티브,"50,100","7,326","10,906","11,375"
A036930,주성엔지니어링,"13,300","6,417","3,151","2,955"
A002240,고려제강,"35,950","7,190","23,850","15,244"
A058650,세아홀딩스,"155,500","6,220","43,112","46,163"
A272290,이녹스첨단소재,"72,300","6,450","2,184","1,923"
A237690,에스티팜,"44,000","8,209","3,789","2,028"
A042700,한미반도체,"12,100","7,693","2,895","1,826"
A009420,한올바이오파마,"35,950","18,781","1,308",842
A007700,F&F,"48,100","7,407","3,558","4,884"
A086520,에코프로,"41,850","9,245","3,886","2,727"
A070960,용평리조트,"10,650","5,126","8,834","2,168"
A192530,광주은행,"12,800","6,568","234,597","7,802"
A145720,덴티움,"71,300","7,892","2,613","1,435"
A064760,티씨케이,"74,400","8,686","1,543","1,303"
A034310,NICE,"17,000","6,440","13,817","14,209"
A005180,빙그레,"66,700","6,571","6,892","8,533"
A112040,위메이드,"54,000","9,072","3,870","1,027"
A030530,원익홀딩스,"8,140","6,287","8,503","4,130"
A065620,제낙스,"34,150","7,679",642,62
A007340,디티알오토모티브,"33,700","3,368","11,233","9,826"
A237880,클리오,"37,300","6,322","2,363","1,979"
A001720,신영증권,"61,200","5,744","86,193","2,129"
A267980,매일유업,"75,900","5,775","6,012","5,547"
A003030,세아제강,"102,500","6,150","24,511","21,602"
A080160,모두투어,"35,250","6,662","2,967","2,730"
A006060,화승인더,"10,600","5,864","8,265","11,811"
A037560,CJ헬로,"8,790","6,808","19,907","10,907"
A086450,동국제약,"71,800","6,384","3,535","3,423"
A122870,와이지엔터테인먼트,"29,750","5,410","4,776","3,247"
A006730,서부T&D,"12,700","6,588","13,440",566
A033920,무학,"21,100","6,014","6,752","2,671"
A213420,덕산네오룩스,"20,050","4,814","1,415",845
A072710,농심홀딩스,"113,500","5,264","11,861","4,795"
A241590,화승엔터프라이즈,"25,500","7,718","4,973","7,413"
A031440,신세계푸드,"140,000","5,421","5,887","11,891"
A013120,동원개발,"5,230","4,749","7,302","5,763"
A089600,나스미디어,"79,700","6,977","2,671","1,159"
A009450,경동나비엔,"63,000","8,026","5,023","6,367"
A030190,NICE평가정보,"10,250","6,223","2,311","3,581"
A265520,AP시스템,"34,650","4,816","4,608","7,560"
A168330,내츄럴엔도텍,"23,050","4,663",793,91
A002960,한국쉘석유,"381,500","4,960","1,170","2,082"
A004430,송원산업,"23,750","5,700","9,083","7,041"
A025900,동화기업,"33,800","4,853","10,322","7,432"
A039840,디오,"42,000","6,372","1,687",917
A138250,엔에스쇼핑,"15,950","5,375","8,308","4,717"
A008060,대덕전자,"9,580","4,675","5,771","5,231"
A161000,애경유화,"17,300","5,543","4,287","9,500"
A096760,JW홀딩스,"9,510","6,016","11,589","6,940"
A084370,유진테크,"23,450","5,374","2,421",918
A001800,오리온홀딩스,"28,300","17,728","7,371","23,807"
A053800,안랩,"57,500","5,758","2,179","1,521"
A003530,한화투자증권,"3,500","6,035","68,208","2,524"
A210980,SK디앤디,"31,900","5,153","8,240","3,510"
A080420,모다이노칩,"11,150","4,444","5,878","3,017"
A001520,동양,"2,145","5,120","9,966","4,862"
A091700,파트론,"10,350","5,605","4,949","7,822"
A017390,서울가스,"92,600","4,630","12,547","12,837"
A101530,해태제과식품,"17,650","5,139","8,410","7,991"
A003920,남양유업,"707,000","5,090","10,358","11,926"
A004490,세방전지,"36,100","5,054","11,286","10,851"
A032350,롯데관광개발,"13,150","5,969","4,171",646
A031980,피에스케이,"25,750","5,235","2,843","2,550"
A005500,삼진제약,"39,950","5,553","2,371","2,473"
A112610,씨에스윈드,"34,450","5,955","4,326","3,311"
A038540,텍셀네트컴,"25,450","12,152","18,436","4,186"
A033290,코웰패션,"5,600","5,068","2,489","2,921"
A034120,SBS,"28,200","5,147","9,594","7,610"
A078520,에이블씨엔씨,"19,250","4,778","2,447","4,104"
A048530,인트론바이오,"49,400","7,429",607,110
A102460,이연제약,"25,500","4,276","2,794","1,275"
A031390,녹십자셀,"58,200","6,807",559,287
A003230,삼양식품,"81,000","6,102","3,716","4,351"
A051500,CJ프레시웨이,"36,000","4,274","8,388","24,801"
A200230,텔콘,"14,300","10,397","1,512",441
A025860,남해화학,"12,700","6,309","5,568","11,124"
A000400,롯데손해보험,"3,755","5,042","118,230","22,903"
A036420,제이콘텐트리,"7,290","8,316","5,417","3,859"
A041140,넥슨지티,"14,650","5,182","1,738",414
A023890,아트라스BX,"48,250","4,415","3,805","6,195"
A222040,뉴트리바이오텍,"25,450","5,250","2,036","1,240"
A017810,풀무원,"166,000","6,323","10,215","22,381"
A043150,바텍,"38,800","5,763","3,155","2,676"
A104830,원익머트리얼즈,"65,500","4,129","2,713","1,908"
A036580,팜스코,"13,600","4,995","7,823","10,244"
A214450,파마리서치프로덕트,"67,800","6,418","1,907",506
A049950,미래컴퍼니,"83,000","6,528","1,250","1,653"
A005810,풍산홀딩스,"54,100","4,239","8,094","3,212"
A025980,에머슨퍼시픽,"27,200","4,478","7,508","1,483"
A243070,휴온스,"106,500","7,251","2,027","2,775"
A249420,일동제약,"26,000","5,614","5,605","4,693"
A031430,신세계인터내셔날,"84,600","6,040","9,881","10,726"
A084110,휴온스글로벌,"68,000","7,075","4,492","3,147"
A025620,제이준코스메틱,"17,800","4,714","1,471","1,432"
A009290,광동제약,"10,250","5,373","6,945","11,287"
A011810,STX,"23,850","4,260","5,954","18,385"
A101060,SBS미디어홀딩스,"3,425","4,791","8,020","4,432"
A016250,이테크건설,"143,000","4,004","15,654","13,829"
A079430,현대리바트,"29,500","6,058","4,706","8,233"
A016580,환인제약,"25,000","4,650","2,609","1,480"
A016450,한세예스24홀딩스,"11,650","4,660","12,991","24,646"
A014830,유니드,"50,300","4,472","11,459","7,526"
A182400,에이티젠,"23,000","5,535",603,73
A092040,아미코젠,"58,400","5,604","1,349",722
A225570,넷게임즈,"3,500","4,043",411,133
A126560,현대에이치씨엔,"4,315","4,871","7,214","2,960"
A078020,이베스트투자증권,"10,850","4,392","29,928","1,377"
A008730,율촌화학,"19,850","4,923","5,552","4,755"
A063080,게임빌,"68,900","4,544","3,366","1,226"
A033660,아주캐피탈,"7,110","4,092","50,859","2,050"
A004690,삼천리,"123,500","5,008","32,833","32,422"
A003800,에이스침대,201000,4458.18,4210,2109.39
A035900,JYP Ent.,"16,400","5,678","1,027",936
A015350,부산가스,"36,900","4,059","7,749","9,095"
A005720,넥센,"7,700","4,123","10,183","3,045"
A119610,인터로조,"47,850","5,257","1,138",806
A064240,홈캐스트,"15,050","4,849","1,260",504
A097230,한진중공업,"3,850","4,083","45,611","24,846"
A023410,유진기업,"6,070","4,443","16,242","12,202"
A007810,코리아써키트,"12,100","2,858","5,078","5,869"
A067080,대화제약,"30,350","5,531","1,522","1,258"
A032190,다우데이타,"14,050","5,381","105,741","15,330"
A083790,크리스탈,"29,000","7,512","1,247",109
A000050,경방,"14,900","4,085","12,821","3,676"
A004710,한솔테크닉스,"16,250","3,593","5,376","8,988"
A001510,SK증권,"1,365","4,370","40,150","2,834"
A016800,퍼시스,"34,300","3,945","4,315","2,794"
A213500,한솔제지,"15,000","3,570","18,086","16,793"
A206640,바디텍메드,"21,900","5,103","1,156",527
A015750,성우하이텍,"6,720","4,032","32,468","35,620"
A000540,흥국화재,"6,260","4,022","109,508","32,058"
A004380,삼익THK,"26,000","5,460","3,162","3,784"
A017940,E1,"60,200","4,130","33,674","41,854"
A041830,인바디,"43,950","6,014","1,110",865
A100120,뷰웍스,"44,900","4,491","1,383","1,294"
A008490,서흥,"34,800","4,026","5,788","3,523"
A052710,아모텍,"49,400","4,813","3,866","3,107"
A102710,이엔에프테크놀로지,"21,800","3,096","2,516","3,759"
A025770,한국정보통신,"12,900","5,007","2,687","3,627"
A115960,연우,"34,950","4,333","2,483","2,279"
A033270,유나이티드제약,"37,550","6,086","2,503","1,944"
A025000,KPX케미칼,"70,300","3,403","5,394","7,144"
A058820,CMG제약,"8,070","8,787","1,156",397
A037710,광주신세계,"239,500","3,832","6,563","2,085"
A033240,자화전자,"27,000","4,833","5,256","4,080"
A030520,한글과컴퓨터,"20,550","4,743","2,929","1,071"
A007160,사조산업,"73,600","3,680","10,119","7,777"
A003120,일성신약,"119,500","3,179","3,473",684
A044490,태웅,"24,400","4,882","10,101","2,878"
A136490,선진,"17,150","4,078","6,931","8,166"
